Date	PET_mm	Rainfall_mm
2011-11-14	4.6	0
2011-11-15	4.5	0
2011-11-16	4.1	0
2011-11-17	4.4	0
2011-11-18	5.1	0
2011-11-19	5.9	0
2011-11-20	5.2	0
2011-11-21	6	0
2011-11-22	6	0
2011-11-23	4.7	0
2011-11-24	4.2	0
2011-11-25	4.2	0
2011-11-26	4.8	0
2011-11-27	6	0
2011-11-28	5.2	0
2011-11-29	5.5	0
2011-11-30	4.4	0
2011-12-01	4.3	0
2011-12-02	4.1	0
2011-12-03	4.4	0
2011-12-04	4.1	0
2011-12-05	4	0
2011-12-06	4.1	0
2011-12-07	4.8	0
2011-12-08	4.6	0
2011-12-09	4	0
2011-12-10	4.3	0
2011-12-11	4.2	0
2011-12-12	4	0
2011-12-13	3.2	0
2011-12-14	4.7	0
2011-12-15	4.2	0
2011-12-16	4	0
2011-12-17	4.2	0
2011-12-18	3.4	0
2011-12-19	4.1	0
2011-12-20	3.2	0
2011-12-21	4.8	0
2011-12-22	4.2	0
2011-12-23	4.6	0
2011-12-24	3.8	0
2011-12-25	5.5	0
2011-12-26	5	0
2011-12-27	4.3	0
2011-12-28	4.6	0
2011-12-29	4.9	0
2011-12-30	4.2	0
2011-12-31	4.9	0
2012-01-01	2.6	0
2012-01-02	3.9	0
2012-01-03	4.6	0
2012-01-04	3.9	0
2012-01-05	4.5	0
2012-01-06	5	0
2012-01-07	6	0
2012-01-08	6	0
2012-01-09	5.3	0
2012-01-10	5.9	0
2012-01-11	4.7	0
2012-01-12	4	0
2012-01-13	5.1	0
2012-01-14	5	0
2012-01-15	4.9	0
2012-01-16	4	0
2012-01-17	5	0
2012-01-18	5.2	0
2012-01-19	6	0
2012-01-20	5.6	0
2012-01-21	3.9	0
2012-01-22	5.2	0
2012-01-23	4.9	0
2012-01-24	4.8	0
2012-01-25	5.2	0
2012-01-26	7	0
2012-01-27	6.4	0
2012-01-28	5.8	0
2012-01-29	5.8	0
2012-01-30	5	0
2012-01-31	6.2	0
2012-02-01	6	0
2012-02-02	3.9	0
2012-02-03	6	0
2012-02-04	5	0
2012-02-05	5	0
2012-02-06	5.3	0
2012-02-07	7.5	0
2012-02-08	9.2	0
2012-02-09	8	0
2012-02-10	4	0
2012-02-11	6.2	0
2012-02-12	5.6	0
2012-02-13	7.4	0
2012-02-14	6.5	0
2012-02-15	6.5	0
2012-02-16	7.6	0
2012-02-17	6.9	0
2012-02-18	7.3	0
2012-02-19	8.2	0
2012-02-20	6.4	0
2012-02-21	6.4	0
2012-02-22	8.1	0
2012-02-23	8	0
2012-02-24	7	0
2012-02-25	7.2	0
2012-02-26	8.6	0
2012-02-27	8.4	0
2012-02-28	7.5	0
2012-02-29	9	0
2012-03-01	9	0
2012-03-02	9.7	0
2012-03-03	9.8	0
2012-03-04	8.5	0
2012-03-05	7	0
2012-03-06	7.5	0
2012-03-07	9	0
2012-03-08	9.3	0
2012-03-09	9.2	0
2012-03-10	8.4	0
2012-03-11	7.5	0
2012-03-12	10.9	0
2012-03-13	10.8	0
2012-03-14	9	0
2012-03-15	8.4	0
2012-03-16	8.2	0
2012-03-17	7.9	0
2012-03-18	9.3	0
2012-03-19	8	0
2012-03-20	8.8	0
2012-03-21	10.6	0
2012-03-22	9.4	0
2012-03-23	8.8	0
2012-03-24	11.3	0
2012-03-25	9.7	0
2012-03-26	9.5	0
2012-03-27	9	0
2012-03-28	9	0
2012-03-29	10.7	0
2012-03-30	8.8	0
2012-03-31	10.4	0
2012-04-01	9.5	0
2012-04-02	11.3	0
2012-04-03	10.9	0
2012-04-04	7	0
2012-04-05	10.1	0.3
2012-04-06	9	0
2012-04-07	9	0
2012-04-08	7.8	0
2012-04-09	8.3	0
2012-04-10	8.6	6.6
2012-04-11	6.7	0
2012-04-12	9.1	0
2012-04-13	8.6	9.4
2012-04-14	6.4	0
2012-04-15	7.2	0
2012-04-16	7.8	0
2012-04-17	7.8	0.3
2012-04-18	7	0
2012-04-19	10.2	0
2012-04-20	9.7	0
2012-04-21	9.9	0
2012-04-22	10.5	0
2012-04-23	10.2	0.8
2012-04-24	5.3	0
2012-04-25	10.2	0
2012-04-26	10.9	0
2012-04-27	5.6	0
2012-04-28	7.6	0
2012-04-29	9.5	0
2012-04-30	12.2	0
2012-05-01	8.1	0
2012-05-02	9.2	0
2012-05-03	12.8	0
2012-05-04	12.5	0
2012-05-05	13.2	0
2012-05-06	14.3	0
2012-05-07	14	0
2012-05-08	12.5	0
2012-05-09	9.4	1.8
2012-05-10	12.4	0
2012-05-11	9.6	0
2012-05-12	8.6	0
2012-05-13	9.4	0
2012-05-14	10	0
2012-05-15	11.5	0
2012-05-16	11.9	0
2012-05-17	11.7	0
2012-05-18	14	0
2012-05-19	13	0
2012-05-20	12.2	0
2012-05-21	12.8	0
2012-05-22	14.7	0
2012-05-23	13.7	0
2012-05-24	12.7	0
2012-05-25	15.3	0
2012-05-26	14.6	1
2012-05-27	17.3	0
2012-05-28	17.6	0
2012-05-29	17.5	0
2012-05-30	14.4	0
2012-05-31	17	0
2012-06-01	16.5	0
2012-06-02	15.1	0
2012-06-03	17.3	0
2012-06-04	16.2	0
2012-06-05	14.1	0
2012-06-06	12.8	0
2012-06-07	12	0
2012-06-08	12.2	0
2012-06-09	12.7	0
2012-06-10	12.7	0
2012-06-11	15.4	0
2012-06-12	12	0
2012-06-13	10.6	0
2012-06-14	8	0
2012-06-15	6	1.8
2012-06-16	6.7	6.8
2012-06-17	5.9	2
2012-06-18	3.5	163
2012-06-19	2.7	28.6
2012-06-20	3.1	0
2012-06-21	3.3	0
2012-06-22	2.3	0.2
2012-06-23	6.6	0
2012-06-24	8.5	0
2012-06-25	9.7	0
2012-06-26	10.3	59.4
2012-06-27	4.3	4.8
2012-06-28	6	0
2012-06-29	5.8	0
2012-06-30	5.4	14.2
2012-07-01	6	0
2012-07-02	3.4	0
2012-07-03	4.4	0
2012-07-04	5	0
2012-07-05	8	0
2012-07-06	8.6	0
2012-07-07	4.8	13
2012-07-08	4.6	0
2012-07-09	6.4	0.2
2012-07-10	4	0.4
2012-07-11	5.9	0
2012-07-12	6.9	0
2012-07-13	6.4	0
2012-07-14	6	30.2
2012-07-15	3.2	11.5
2012-07-16	1.9	16.9
2012-07-17	1.6	3.6
2012-07-18	3.6	5.6
2012-07-19	4.6	10.8
2012-07-20	0.7	0.6
2012-07-21	2	71
2012-07-22	2.6	1.8
2012-07-23	2.7	0
2012-07-24	6	0
2012-07-25	6	0
2012-07-26	3	19
2012-07-27	3.6	0
2012-07-28	3.4	0
2012-07-29	4.6	14.2
2012-07-30	4.7	0.4
2012-07-31	4.8	0
2012-08-01	1.8	4.8
2012-08-02	5.8	0.4
2012-08-03	5.2	5.4
2012-08-04	2.6	1
2012-08-05	2.6	0
2012-08-06	2.7	0.8
2012-08-07	3.8	0
2012-08-08	5.1	1.5
2012-08-09	4.7	1.4
2012-08-10	4.1	2.4
2012-08-11	5.2	1
2012-08-12	4.3	7.8
2012-08-13	4.8	2.6
2012-08-14	4.8	0
2012-08-15	6.4	0
2012-08-16	3.5	0
2012-08-17	5.4	0
2012-08-18	5.9	0.8
2012-08-19	5.8	1
2012-08-20	3.8	0
